题目	答案
一般三维弹性体微块表面存在不同方向的正应力和剪应力  Y
巡洋舰外底板可采用平面应力问题模型求解  N
三维弹性体微块需要同时满足几何方程式需要与应变协调方程才能保证变形连续性    Y
船体的甲板、外板、双层底结构均可视为“薄板”  N
板的边长比大于3.0且外载荷沿长边无变化时，可视为满足筒形弯曲条件 Y
板条梁肯定不满足平断面假定  N
两端固支的板条梁发生大挠度弯曲时，弯曲引起的中面力不可忽略  Y
单三角级数不能作为四边简支矩形板的挠曲面函数    N
单纯受到面内剪应力的矩形板可能会达到临界状态    Y
采用能量法求解出的单跨压杆欧拉力可能是偏安全的  N
简单板架稳定性计算模型常用于船舶甲板稳定性初步计算  Y
杆件越细长，其失稳时的欧拉应力与材料屈服强度的差值越小  N
横梁的边界条件可能会影响到甲板纵骨失稳时的“半波”数  Y
矩形板中性平衡微分方程中无需考虑T_xy的影响   N
四边自由支持且仅短边受压的矩形板，其临界应力与长边的长度无关    Y
仅满足位移边界条件的挠曲面函数仅取第一项，用能量法求出的解与实验结果最接近  N
设计横梁时不必考虑后屈曲强度    Y
甲板纵骨带板宽度取到1.1倍的纵骨间距是合理的 N
三维弹性体微块变形时只需满足几何方程，无需满足变形协调方程  N
纵骨架式双层底结构可以简化为各向同性的板架结构进行计算  N
刚性板模型里，中面力可以忽略不计    Y
筒形弯曲的矩形板，应沿短边方向截取板条梁    Y
求解矩形板弯曲问题时，不需要考虑泊松比的取值    N
外载荷和变形都相同的情况下，四边简支与四边固支时矩形板产生的中面力一样  N
直法线假定等价于任意两个方向上同时满足平断面假定    N
即使使用能量法也不能求出多跨压杆达到临界状态时的位移    Y
杆件又细又长时很难进入非弹性稳定性阶段  Y
横梁刚度趋于无穷大时，纵骨失稳对应的半波数一定等于其跨数    Y
